English,German
Apple,Apfel
Apricot,Aprikose
Avocado,Avocado
Banana,Banane
Blueberry,Blaubeere
Cherry,Kirsche
Coconut,Kokosnuss
Fig,Feige
Grape,Traube
Grapefruit,Grapefruit
Kiwi,Kiwi
Lemon,Zitrone
Lime,Limette
Mango,Mango
Melon,Melone
Nectarine,Nektarine
Orange,Orange
Papaya,Papaya
Peach,Pfirsich
Pear,Birne
Pineapple,Ananas
Plum,Pflaume
Raspberry,Himbeere
Strawberry,Erdbeere
Watermelon,Wassermelone
time,Zeit
person,Person
year,Jahr
day,Tag
thing,Ding
man,Mann
world,Welt
life,Leben
hand,Hand
child,Kind
eye,Auge
woman,Frau
place,Ort
work,Arbeit
week,Woche
government,Regierung
company,Gesellschaft
number,Anzahl
group,Gruppe
problem,Problem
fact,Tatsache
Alligator,Alligator
Ant,Ameise
Bird,Vogel
Camel,Kamel
Cat,Katze
Chicken,Huhn
Cow,Kuh
Crocodile,Krokodil
Deer,Reh
Dog,Hund
Dolphin,Delfin
Duck,Ente
Elephant,Elefant
Fish,Fisch
Fox,Fuchs
Frog,Frosch
Giraffe,Giraffe
Goat,Ziege
Goose,Gans
Gorilla,Gorilla
Hippopotamus,Nilpferd
Horse,Pferd
Kangaroo,Känguru
Lion,Löwe
Llama,Lama
Monkey,Affe
Mouse,Maus
Octopus,Tintenfisch
Ostrich,Strauß
Owl,Eule
Panda,Panda
Penguin,Pinguin
Pig,Schwein
Rabbit,Kaninchen
Raccoon,Waschbär
Rat,Ratte
Seal,Siegel
Shark,Hai
Sheep,Schaf
Snake,Schlange
Squirrel,Eichhörnchen
Tiger,Tiger
Tortoise,Schildkröte
Trout,Forelle
Turkey,Truthahn
Turtle,Schildkröte
Walrus,Walross
Whale,Wal
Wolf,Wolf
Zebra,Zebra
be,sein
have,"verfügen über"
do,tun
say,sagen
go,gehen
get,bekommen
make,machen
know,wissen
think,Überlegen
take,nehmen
see,sehen
come,"Kommen Sie"
want,will
look,sehen
use,verwenden
find,finden
give,"geben Sie"
tell,erzählen
work,Arbeit
call,Anruf
try,Versuchen
ask,Fragen
need,brauchen
feel,fühlen
become,werden
arm,Arm
chest,Truhe
ear,Ohr
elbow,Ellbogen
eye,Auge
finger,Finger
foot,Fuß
hair,Haar
hand,Hand
knee,Knie
leg,Bein
mouth,Mund
neck,Nacken
nose,Nase
shoulder,Schulter
toe,Zehe
